ID,FECHA CREACION, FECHA MODIFICACION,DENOMINACIÓN DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO BRUTO DE LAS PERCEPCIONES ADICIONALES EN DINERO,MONTO NETO DE LAS PERCEPCIONES ADICIONALES EN DINERO,TIPO DE MONEDA DE LAS PERCEPCIONES ADICIONALES EN DINERO,PERIODICIDAD DE LAS PERCEPCIONES ADICIONALES EN DINERO
1569433152,24/06/2022,24/06/2022,COMPLEMENTARIOS,4165.3,3927.59,PESOS,MENSUAL
1569433154,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12746.4,11443.09,PESOS,MENSUAL
1569433154,24/06/2022,24/06/2022,COMPLEMENTARIOS,1112.76,1070.42,PESOS,MENSUAL
1569433233,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,14651.36,12962.99,PESOS,MENSUAL
1569433233,24/06/2022,24/06/2022,COMPLEMENTARIOS,4200.94,3960.95,PESOS,MENSUAL
1569433236,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,10075.38,9229.57,PESOS,MENSUAL
1569433295,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13155.16,11778.6,PESOS,MENSUAL
1569433297,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,13943.26,12406.14,PESOS,MENSUAL
1569433387,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,4375.66,4124.49,PESOS,MENSUAL
1569433387,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,9678.4,9678.4,PESOS,MENSUAL
1569433389,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,904.8,875.77,PESOS,MENSUAL
1569433389,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569433468,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,21871.7,18641.07,PESOS,MENSUAL
1569433468,24/06/2022,24/06/2022,ZONA GEOGRAFICA,8332.08,7699.53,PESOS,MENSUAL
1569433471,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,1208.56,1160.09,PESOS,MENSUAL
1569433471,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,0,0,PESOS,MENSUAL
1569433552,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,11276.02,10236.2,PESOS,MENSUAL
1569433555,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,23021.52,19545.29,PESOS,MENSUAL
1569433555,24/06/2022,24/06/2022,ZONA GEOGRAFICA,10524.12,9606.51,PESOS,MENSUAL
1569433639,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,12200.42,10994.95,PESOS,MENSUAL
1569433639,24/06/2022,24/06/2022,COMPLEMENTARIOS,774.62,753.92,PESOS,MENSUAL
1569433641,24/06/2022,24/06/2022,COMPENSACIÓN ANTIGUEDAD,6279.02,5869.84,PESOS,MENSUAL
1569433641,24/06/2022,24/06/2022,OTROS INGRESOS POR SALARIOS,28164,28164,PESOS,MENSUAL
